"","employment","disabled","not.disabled"
"1","employed 3rd party",0.0319148936170213,0.11500312751318
"2","employed household farm",0.170212765957447,0.213475113930837
"3","self employed",0.138297872340426,0.352783486730408
"4","unemployed",0.659574468085106,0.318738271825574
"5",NA,0,0
