variable,Female,Male,Total
Autistic,0.088404868673927,0.530337078651685,0.323855133193655
Hearing,0.0675076713262871,0.8140625,0.415437829965411
Mental,0.0445580715850986,0.352808528085281,0.211908736783528
Physical,0.0567720202120281,0.600480559196156,0.370168296470391
Speech,0.0793283149971048,0.672523961661342,0.411051556916794
Vision,0.0552176696542894,0.726128793486307,0.366374871266735
