Sex,Seeing,Hearing,Walking,Remembering,Self care,Communication
Overall,0.0112890246256827,0.0047503503096424,0.0112803397386376,0.00841585310949635,0.00339257770419224,0.00591484214658621
Male,0.0100632002453796,0.00497172989500874,0.0100882566673735,0.00923589746730573,0.00333907614867321,0.00620720504721702
Female,0.0124121943623602,0.00454750979300964,0.012372593776625,0.00766448201570478,0.00344159886006882,0.00564696269550642
