Region.chr,Disabled,Seeing,Hearing,Walking,Remembering,Self care,Communication
Central,0.027984698933038,0.0106121811765428,0.00280319937321786,0.00993431957688509,0.00636968507467108,0.0032405747078132,0.00429751254171144
Eastern,0.0403834502706471,0.0128581117934615,0.00581413858085526,0.0148995291849023,0.0104244822786196,0.00369907718701587,0.007618656471126
Northern,0.0298638339074406,0.0122284790652753,0.00444560885676659,0.010427494346347,0.00549692192270316,0.00179754703597112,0.0035853252219606
Western,0.0314052058099588,0.00963375664316041,0.00612851044685313,0.00951102463043877,0.0108564546573363,0.00445119170109584,0.00773160700533071
