"SEX","disabled","not disabled","na"
"MALE",0.0111147271835597,0.851105594880163,0.137779677936278
"FEMALE",0.00924813002506405,0.853532304381207,0.137219565593728
"TOTAL",0.0101780841369529,0.852323297676903,0.137498618186144
