"STATE CODE.x","disabled","not disabled","na"
"Kogi",0,2.44444444444444,0.003584229390681
"Adamawa",0.0152671755725191,2.71501272264631,0.00508905852417303
"Gombe",0.0050761421319797,2.33502538071066,0.121827411167513
"Anambra",0.025974025974026,1.90909090909091,0.0155844155844156
"Cross River",0.0181159420289855,1.92753623188406,0.0471014492753623
"Delta",0.010989010989011,2.01465201465201,0.0146520146520147
"Rivers",0.0160714285714286,2.71785714285714,0.0339285714285714
"Ekiti",0.0507246376811594,1.73913043478261,0.0507246376811594
"Lagos",0,2.54654654654655,0.0690690690690691
"Osun",0,1.8452380952381,0.0198412698412698
"Benue",0.0202898550724638,2.4,0.00579710144927536
"Kwara",0,2.42307692307692,0.00427350427350427
"Nasarawa",0.0050251256281407,2.47236180904523,0
"Niger",0.0204498977505112,2.93456032719836,0
"Plateau",0.0243161094224924,2.59574468085106,0.00911854103343465
"FCT Abuja",0.032258064516129,2.70967741935484,0
"Bauchi",0,2.724609375,0.013671875
"Borno",0.00952380952380952,2.69714285714286,0.102857142857143
"Taraba",0.00344827586206897,3.01724137931034,0
"Yobe",0.0213523131672598,1.98932384341637,0.0142348754448399
"Jigawa",0.0087463556851312,1.9533527696793,0
"Kaduna",0.0703703703703704,2.07777777777778,0
"Kano",0.00932835820895522,2.12686567164179,0.0167910447761194
"Katsina",0,2.37674418604651,0
"Kebbi",0.0112781954887218,2.46616541353383,0.0413533834586466
"Sokoto",0,2.37727272727273,0.0318181818181818
"Zamfara",0,2.43673469387755,0
"Abia",0.00413223140495868,2.74793388429752,0
"Ebonyi",0.00560224089635854,2.57983193277311,0
"Enugu",0.0394088669950739,2.05418719211823,0
"Imo",0.0371352785145889,1.96551724137931,0
"Akwa Ibom",0.0461538461538462,2.46153846153846,0.0512820512820513
"Bayelsa",0.0148148148148148,1.62222222222222,0.0296296296296296
"Edo",0.0412844036697248,2.57798165137615,0.0229357798165138
"Ondo",0.0138888888888889,2.03240740740741,0
"Oyo",0.0178571428571429,2.16581632653061,0.0153061224489796
"Ogun",0.0159574468085106,2.06382978723404,0.00531914893617021
