year,value.id,count.id,value.od,count.id
2012,65.56749721,274,531.577797096,1963
2013,52.661474689,197,735.66967194158,2011
2014,43.125518636,222,609.363386519734,2377
2015,24.528459863,207,538.77605885911,2577
2016,21.8697102181,176,597.7932274385,2550
2017,21.8536386947,194,792.7150416694,2816
