region,Autistic,Hearing,Mental,Physical,Speech,Vision,Disabled,Not disabled
Barisal,0.00101549905431651,0.0014047736918045,0.00201830437045405,0.00685884986269607,0.00222986667343666,0.0034188468161989,0.0169461404689067,0.983053859531093
Chittagong and Sylhet,0.000952133482547815,0.00115944530485626,0.0021312781008361,0.00572124345818633,0.00196430296793608,0.0027175671910749,0.0146459705054375,0.985354029494563
Dhaka,0.000696061418153062,0.00103242245848344,0.00181772251998946,0.00440221092171162,0.00162688911343467,0.00228107701432212,0.0118563834460944,0.988143616553906
Khulna,0.000662581425363048,0.00131500055892605,0.00219911994553012,0.00630265337438899,0.00185766694104855,0.00269707224373241,0.0150340944889892,0.984965905511011
Rajshahi and Rangpur,0.000712004627075646,0.00169315845634343,0.00239180106628897,0.0062925556384849,0.00184300393415962,0.00314675503413995,0.0160792787564925,0.983920721243507
