recipient_name,Major_Inclusion_Employment,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
Ethiopia,0.6003183,5.18984695,0.046574385,16.3871627785,0.55439156,1.59849606,3.03124178,63.935670413,21774.4042342296
"Europe, regional",0,5.98037358,0.333631,32.941138156,0.3400165,0.0556833,0,1.83888263,5290.34521373171
"Far East Asia, regional",0,0.1927389,0,3.1524094,0,0.0458426,0,0.395090522,1617.88959933247
Fiji,0,0.75108719,0.00452427,2.930872771,0,4.902201008,0,29.7540959,594.233402666749
Gabon,0,0,0,0.04302089,0,0,0,1.06086e-05,615.481647616094
Gambia,0,0.149395,0,0.178570499,0,0.128507,0,0.74792686,870.1189646907
Georgia,0.2270143,1.28828676,0.303221967,3.052206025,0.058026,6.30260837,0.02068344,10.160642601,3648.55001947181
Ghana,0.00388844,2.16092622,0.01033119,10.689294339,0.01143796,0.640678,0,3.57668251,8826.08911310044
Grenada,0,0,0,0,0,0,0,0,138.020418235131
Guatemala,0.034009114,0.42268923,0.02371015,0.16309957,0.0455431,0.21312991,0.99765681,2.589514047,2275.34451284592
Guinea,0,0.0179041,0,0.178740531,0,0.163714,0,4.99469795,3569.96921735397
Guinea-Bissau,0,0,0,0.986969787,0,0.66827536,0,6.099668592,697.048027008649
Guyana,0,0.200915,0,0.17933667,0,0.0912817,0.1067567,0.08813309,585.584119879832
Haiti,0.699512,2.25160848,0.00303674,7.18906028,1.355583,6.09203316,0.43642222,15.79541386,6443.70282090579
Honduras,0,0.5132678,0,0.08828383,0,0.3333661,0.00528505,4.5865510807,3378.15614417893
India,0.00393678,3.83229525,1.3369573,10.457934057,2.27679216,2.93292717,0.32511366,6.91318577,28592.8271590118
Indonesia,0.0298733,4.94332244,0,2.120015507,0.01930879,63.90189881,0.0228242,0.2551904,12647.1522692555
Iran,0,0,0,1.3101494,0,0,0,0.00549201,805.23274759801
Iraq,0,1.072117,0,13.384192525,2.29214,5.903202369,0.59725584,18.7790581,10690.6825853042
Jamaica,0,0.01829105,0,0.06774182,0,0.0191586,0,0.47779663,599.858083448735
Jordan,0.281817,1.7880197,0.797376,42.226348748,0,0.529863525,0,23.75456261,14257.2331563845
Kazakhstan,0.00186384,0.6763206,0.0349102,0.546176058,0.0485391,0.1962843,0.02481648,0.38987054,709.223489446421
Kenya,0.570183,2.898763892,0.10841412,14.838260551,1.6731641063,5.36331648,0.492416857,21.506093504,17358.7250745164
Kiribati,0,2.986895219,0,0.414307683,0,1.2561772,0,2.41901614,387.98208293266
Kosovo,0.3380025,0.60117212,1.13533867,3.498163625,1.372052,0.23018414,0.6503431,0.84960162,2760.86083516722
Kyrgyzstan,0,0.843197654,0.294841735,0.974436027,0,3.691096547,8.455984443,1.332682908,3154.47869878452
Lao People's Democratic Republic,0.7555,2.43395145,1.25298829,1.931396151,0.84629213,13.71459435,0.055192,3.044584917,2864.79253472156
Lebanon,1.2810397,3.74085859,1.06378237,21.592453293,0.00364229,1.3927947,2.713613031,34.762360184,6294.46595943254
Lesotho,0,0.60277456,0,1.158054074,0,0.1270868,0,3.2594363,1179.73097839694
Liberia,0,0.3316057,0.191554,2.111603783,0.0927853,0.3805928,0,7.258683188,4360.02120687701
Libya,0,0,0,3.88921935,0,0.0399428,0,2.2875978,1208.9335043829
Madagascar,0,1.38284711,0,1.934147544,0.00620582,0.3958666,0,6.57435037,3792.44943926017
Malawi,0.00386907,4.10136597,0,11.249381215,0,2.59040906,0,19.0708714975,7033.07593064249
