sex.lab,Autistic,Hearing,Mental,Physical,Speech,Vision
Female,0.000712141534138085,0.00133805965382896,0.00187364848219418,0.00460451281489795,0.00157574430423635,0.00285039097072054
Male,0.000844837921641757,0.00121504779741736,0.00231523560773511,0.00651854158192579,0.00207982009698549,0.00256488995986071
Total,0.000777176822033021,0.00127777081216025,0.00209007295599123,0.00554258968529805,0.00182279484509152,0.00271046522907176
