employment,Sex.chr,Seeing,Hearing,Walking,Remembering,Self care,Communication
employed,Overall,0.839622641509434,0.75,0.699029126213592,0.653333333333333,0.16,0.541666666666667
employed,Male,0.804878048780488,0.714285714285714,0.686274509803922,0.605263157894737,0.0714285714285714,0.541666666666667
employed,Female,0.861538461538462,0.772727272727273,0.711538461538462,0.702702702702703,0.272727272727273,0.541666666666667
