"","employment","disabled","not disabled","na"
"1",NA,0,0,1
"2","employed 3rd party",0.00231660231660232,0.993822393822394,0.00386100386100386
"3","employed household farm",0.00663075010360547,0.990053874844592,0.00331537505180274
"4","self employed",0.00325977933801404,0.989969909729188,0.00677031093279839
"5","unemployed",0.0169769989047097,0.976725082146769,0.00629791894852136
